,Date,URL,Review_Title,Author,Rating,Review_text,Review_helpful
0,am 10. Februar 2017,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=1,Genau was ich gesucht habe...,Michaela K.,"5,0 von 5 Sternen","Meine Nachbarn räuchern mich mit Ihren Kaminöfen ein, so daß ich schon oft in dem Gestank schlafen mußte, wenn ich das Fenster nicht schnell genug geschlossen hatte. Lüften war immer reine Glückssache! Nun kann ich ganz entspannt lüften, danach das Gerät angeschalten und es stinkt nichts mehr. Die Luft riecht sauber, allerdings nicht wie frische Frühlingsluft. Letzteres hatte ich mir irgendwie vorgestellt, trotzdem bin ich aber sehr zufrieden. Ich hatte schon erststhaft Angst um meine Gesundheit durch die hohe Feinstaubbelastung.Da ich kein Allergiker bin, kann ich zu der Wirksamkeit nichts sagen.Das Gerät läuft jede Nacht und morgens fühlt sich die Luft nicht mehr so muffig an, sondern als hätte man bei offenem Fenster geschlafen. Im Schlafmodus war das  leise Geräusch des Lüfters in der ersten Nacht etwas ungewohnt, mittlerweile höre ich es garnicht mehr.Zum Plastikgeruch kann ich sagen, daß dieser nach 24 h verschwunden war. Anfangs hatte ich auch so meine Bedenken...Zur Einstellung der Empfindlichkeit des Luftsensors: In der Anleitung steht ja ""Wenn eine höhere Empfindlichkeitsstufe eingestellt wird, startet das Gerät die Luftreinigung bei einem niedrigeren Verschmutzungsgrad, damit die Luft noch sauberer wird."" Unglückliche Formulierung? Der Lüfter läuft ja, wenn ich ihn einschalte. Leider konnte mir immer noch keiner beantworten, was die Einstellung ""sehr Empfindlich"" bewirkt, ich nutze aber dennoch diese Einstellung. Da das Gerät keinen Automatikmodus hat vermute ich mal, daß sich in den jeweiligen Geschwindigkeitsstufen nur der Lüfter schneller dreht und die Lampe öfter rot leuchtet als bei der Einstellung ""Standard"". Naja, viel hilft viel ;) Vielleicht kann mir jemand noch diese Frage beantworten. Der Support von Philips konnte mir jedenfalls nicht weiterhelfen - traurig eigentlich als Hersteller...",War diese Rezension für Sie hilfreich?JaNein
1,am 17. Januar 2017,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=1,Sehr gute Luftreinigung!,Hans-Joachim Rieger,"5,0 von 5 Sternen","Ein tolles Gerät! Wer unter Asthma leidet, dem sei dieses Gerät empfohlen. Ich habe es seit mehreren Monaten in Benutzung und leide seitdem nicht mehr unter allergischen Reaktionen im Schlafzimmer.","Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
2,am 5. Januar 2017,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=1,Verbessert die Luftqualität um ein Vielfaches,ANKE,"5,0 von 5 Sternen","Wir haben en Luftreiniger gekauft da meine Frau allergisch gegen Katzen ist. Wir haben aber zwei von der Sorte und einen haarigen Hund. Der Luftfilter stand erst in einer Ecke im Schlafzimmer, steht jetzt aber direkt neben unserem Bett. Wenn niemand im Zimmer ist, dann läuft er auf Stufe 2 (relativ laut aber er pumpt dann auch die meiste Luft durch). Wenn wir im Zimmer wach sind, dann läuft er auf Stufe 1 und über nacht schalten wir auf den Ruhemodus. Das Gerät arbeitet hervorragend. Ein Sensor mißt ständig die Luftqualität (Partikel in der Luft). Rot = schlecht, blau = sehr gut. Wenn das Gerät einmal ausgeschaltet war, zeigt es oft rot. Hier sollte man dann das Gerät erst auf Ruhemodus schalten und nach ein paar Minuten auf 1. Dann ist der Sensor wieder auf blau. Fazit: Hervorragend arbeitendes Gerät, welches die Luftqualität erheblich verbessert. Auch bei Stadtstaub!",War diese Rezension für Sie hilfreich?JaNein
3,am 7. Oktober 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=1,Geräuche Nachmodus,Amazon Kunde,"2,0 von 5 Sternen","Pro:-recht gut verarbeitet-Einfach zu bedienen-Scheinbar recht effektiv-Preis OKContra:-Im Schlafmodus störendes sporadisch auftretendes Geräuch das einen konstanten Schlaf unmöglich macht. Dieses Problem wurde hier schon mehrmals angesprochen. Scheint Philips nicht in den Griff bekommen zu haben. Würde empfehlen hier akkustische Langzeittests im Schlafmodus durchzuführen. Sollte das Problem behoben werden, lohnt sich der Kauf.-Gerät zeigt nach 3 Tagen an, dass der Filter getauscht werden soll.Gerät zurückgeschickt da im Schlafzimmer unbrauchbar (zumindest für Menschen mit leichtem Schlaf)","Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
4,am 3. Oktober 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=1,Bei mir wirkungslos,a_coyaba,"2,0 von 5 Sternen","Das Gerät sieht gut aus und ist gut verarbeitet.Eine echte Wirkung ist für mich aber nicht zu erkennen, es ähnelt eher einem homöopathischen Luftumwälzer. Weder nahmen die Allergiesymptome ab, noch wurde ein muffiges Zimmer davon frischer, und auch der Rauchgeruch vom Kamin war nach zwei Stunden Dauerbetrieb noch wahrzunehmen wie vorher. Allenfalls auf der Stromrechnung dürfte sich der Betrieb bemerkbar machen.Zudem ist das Gerät alles andere als leise. Für geräuschempfindliche Menschen wie mich kommt ein Einsatz im Schlafzimmer auf keinen Fall in Frage, selbst im leisesten Modus macht es das Einschlafen bei mir unmöglich.Hatte es für knapp 200€ als Angebot neu erstanden, werde es leider zurückschicken müssen.","2 Personen fanden diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
5,am 7. September 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=1,Positiv überrascht,Amazon Kunde,"5,0 von 5 Sternen","Ich kann eine klare Empfehlung aussprechen.Der Philips Luftreiniger AC4012/10 leistet bei mir seit ca. 5 Wochen still und unauffällig seinen Dienst.Qualität top.Nichts klappert oder dröhnt. Alles wirkt hochwertig (Oberflächen, Filter, etc.), ist sauber verarbeitet und ansehnlich. Man muss ihn nicht verstecken. Design ist Geschmacksache. Bedienungselemente weit oben angebracht, sowie Handgriff für den schnellen Wechsel ist auch vorhanden.FunktionDa das mein erster Luftreiniger ist, kann ich mich kaum sinnvoll dazu äußern.- 3 Stufen (I, II, Nacht) manuell wählbar- Automatik- Zeitsteuerung (1, 4 oder 8 Stunden Timer)- relativ leiseBedienungTeilweise missverständliche Formulierungen in der Gebrauchsanweisung (Automatik/Manuell Modus wechseln, Filter vor dem Einsetzen in das Gerät aus Kunststoff Tüte nehmen). Das diese aber verpackt schon im Gerät verbaut sind, da muss man erstmal drauf kommen. Deshalb am ersten Tag, mit in Plastiktüten verpackten Filtern im Betrieb gewesen. Ansonsten alles OK",War diese Rezension für Sie hilfreich?JaNein
6,am 20. August 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=1,Super Gerät.,Geocacher,"5,0 von 5 Sternen","Sehr schnelle und unkomplizierte Lieferung.Das Gerät ist super. Seitdem wir es haben, können wir wieder normal schlafen. Keine Probleme mehr mit der Allergie.Ich unserem Fall effizienter als alle bisherigen Anti-Allergie-Tabletten.","Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
7,am 17. August 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=1,Allergiker aufgemerkt,Parabol78911022,"5,0 von 5 Sternen","Ich bin Heuschnupfen- und Katzenallergiker. Und seit neuesten lebe ich mit zwei Katzen zusammen (wie das Leben manchmal so spielt, meine neue Freundin hatte schon die Katzen). Und dank diesem fantastischen Apparat kann ich in meiner Wohnung ein normales Leben ohne Hustenanfälle, belegter Lunge und dauergeschniefe führen. Sehr empfehlenswert!","4 Personen fanden diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
8,am 16. August 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=1,Phillips AC4012 vs Blaupunkt 2041,Udo Hentschel,"5,0 von 5 Sternen","Ich wollte erst das Gerät von Dyson (Turm mit eingebautem Luftfilter) kaufen. Wegen des hohen Kaufpreises habe ich mich dann lieber für zwei preiswerte Geräte entschieden, die ich dann in zwei verschiedenen Räumen gleichzeitig betreiben kann. Das Gerät von Phillips ist kleiner, leichter, handlicher und billiger. Der Blaupunkt größer, schwerer und wesentlich teurer. Dafür bietet Blaupunkt aber auch 2 zusätzliche Filterstufen sowie deutlich mehr Leistung.  Im Schlafmodus sind beide Geräte leise. Wechselt man oft den Standort oder möchte nicht soviel Geld investieren, dann ist dem Gerät von Phillips der Vorzug zu geben. Kommt es auf das Gewicht bzw die Handlichkeit oder den Preis nicht an, so sollte man sich für Blaupunkt entscheiden. Beim Gerät von Blaupunkt fand ich auch das Display etwas übersichtlicher.","Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
9,am 9. August 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=1,Leider keinen effektiven Nutzen,Hansi Müller,"2,0 von 5 Sternen",Leider hat dieses Gerät nicht die nötige Linderung gebracht die ich in meiner allergiezeit brauche.Der Rücknahmeservice von Amazon war dafür spitzenmässig.,"Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
